x,mean,std_deviation,significant_digits
1e-38,3.1999999999999995e-37,4.852299942430298e-53,15.81920233960513
1.1e-38,3.5200000000000005e-37,3.96188631263014e-53,15.948640654291196
1.2e-38,3.8399999999999995e-37,1.039864134052978e-52,15.567354625151133
1.3e-38,4.160000000000001e-37,8.558652622909066e-53,15.68668793096052
1.4e-38,4.479999999999999e-37,8.956940109295003e-53,15.699118343690085
1.5e-38,4.8000000000000015e-37,1.584754525052056e-52,15.48127923686069
1.6e-38,5.119999999999999e-37,9.704599884860596e-53,15.722292326597074
1.7e-38,5.440000000000001e-37,1.0565030167013707e-52,15.711728158238964
1.8e-38,5.759999999999999e-37,9.523189498497949e-53,15.78164005713854
1.9e-38,6.080000000000001e-37,1.0728838852869603e-52,15.753350857034528
2e-38,6.399999999999999e-37,8.558652622909066e-53,15.873774574317665
2.1e-38,6.72e-37,4.941340395737045e-53,15.954589770191001
2.2e-38,7.040000000000001e-37,1.0057609076072983e-52,15.845077907893371
2.3e-38,7.359999999999998e-37,2.0459092944511523e-52,15.555991439014424
2.4e-38,7.679999999999999e-37,2.0115218152145966e-52,15.58183647311879
2.5e-38,7.999999999999999e-37,1.829916903276564e-52,15.640658618172896
2.6e-38,8.32e-37,1.1205906711803752e-52,15.870676323607817
2.7e-38,8.639999999999999e-37,2.4777191999185525e-52,15.542461656272556
2.8e-38,8.959999999999998e-37,1.7913880218590006e-52,15.699118343690085
2.9e-38,9.28e-37,8.352389719038111e-53,15.954589770191001
3e-38,9.600000000000003e-37,3.3617720135411254e-52,15.455702975637
3.1e-38,9.919999999999998e-37,2.0459092944511523e-52,15.685625296831104
3.2e-38,1.024e-36,8.352389719038111e-53,15.954589770191001
3.3e-38,1.056e-36,9.88268079147409e-53,15.954589770191001
3.4e-38,1.0880000000000002e-36,1.940919976972119e-52,15.748621265319423
3.5e-38,1.12e-36,1.4466763357989948e-52,15.888846645179097
3.6e-38,1.1519999999999999e-36,1.976536158294818e-52,15.76554771545284
3.7e-38,1.184e-36,7.470604474535834e-53,15.954589770191001
3.8e-38,1.2160000000000002e-36,2.0115218152145966e-52,15.781408828023995
3.9e-38,1.2480000000000003e-36,3.582776043718001e-52,15.541994923710384
4e-38,1.2799999999999998e-36,1.976536158294818e-52,15.811305206013515
4.1e-38,1.312e-36,9.14958451638282e-53,15.954589770191001
4.2e-38,1.344e-36,5.282515083506853e-53,15.954589770191001
4.3e-38,1.3760000000000002e-36,1.6704779438076223e-52,15.915777688104258
4.4e-38,1.4080000000000002e-36,1.829916903276564e-52,15.886171285987047
4.5e-38,1.4400000000000002e-36,1.6281804975832238e-52,15.946659943655591
4.6e-38,1.4719999999999997e-36,3.504024096277031e-52,15.623340725963152
4.7e-38,1.5040000000000002e-36,1.976536158294818e-52,15.88134307262127
4.8e-38,1.5359999999999998e-36,3.3409558876152446e-52,15.662520474236278
4.9e-38,1.5680000000000008e-36,7.243019766786333e-52,15.335426387921345
5e-38,1.5999999999999998e-36,3.659833806553128e-52,15.640658618172896
