x,mean,std_dev,significant_digits,true_value,abs_error,ulp_error
-4.0,-7.024594819237264e-05,8.935801429406891e-20,14.895487769700901,-7.024594819237266e-05,1.3552527156068805e-20,1.0
-3.9,-0.00011219769187022593,8.973585113490576e-20,15.097017936306163,-0.00011219769187022598,5.421010862427522e-20,4.0
-3.8,-0.00017611921714141767,2.0274031345899212e-19,14.93886663270499,-0.00017611921714141742,2.439454888092385e-19,9.0
-3.7,-0.00027180602139205347,2.57291454169028e-19,15.023833712010386,-0.00027180602139205326,2.168404344971009e-19,4.0
-3.6,-0.00041258021416358277,4.033771999051206e-19,15.009797050025673,-0.0004125802141635823,4.87890977618477e-19,9.0
-3.5,-0.0006161976553736629,8.361278599117623e-19,14.867447347063129,-0.000616197655373664,1.1926223897340549e-18,11.0
-3.4,-0.0009058509834536628,6.11802377039602e-19,15.170445600144985,-0.0009058509834536628,0.0,0.0
-3.3,-0.0013112281183358043,1.2416737265840095e-18,15.023670762106082,-0.0013112281183358038,4.336808689942018e-19,2.0
-3.2,-0.001869565162084286,1.791568658740747e-18,15.018507150315545,-0.0018695651620842866,6.505213034913027e-19,3.0
-3.1,-0.002626610230549774,2.1199293638149333e-18,15.093074241042387,-0.0026266102305497734,4.336808689942018e-19,1.0
-3.0,-0.0036373920817730178,2.1175933527871654e-18,15.234947552022282,-0.003637392081773019,1.3010426069826053e-18,3.0
-2.9,-0.004966666235471413,2.691838526168219e-18,15.266015971438174,-0.004966666235471413,0.0,0.0
-2.8,-0.0066888936068791845,2.4043621776048123e-18,15.444354400569937,-0.006688893606879183,1.734723475976807e-18,2.0
-2.7,-0.008887594639467897,4.537588740345282e-18,15.291959106841036,-0.008887594639467897,0.0,0.0
-2.6,-0.011653917685242694,5.969592889555666e-18,15.290527231821772,-0.0116539176852427,5.204170427930421e-18,3.0
-2.5,-0.015084266089998577,9.239486557387168e-18,15.21287634691581,-0.01508426608999857,6.938893903907228e-18,4.0
-2.4,-0.01927684615560171,9.617448710419249e-18,15.301976102463811,-0.01927684615560172,1.0408340855860843e-17,3.0
-2.3,-0.024327029795919036,1.0913457854880976e-17,15.348126711420829,-0.02432702979591904,3.469446951953614e-18,1.0
-2.2,-0.030321472961988605,1.617552841233935e-17,15.27289181786735,-0.0303214729619886,6.938893903907228e-18,2.0
-2.1,-0.03733099503888787,1.6922038095637518e-17,15.343616897563093,-0.03733099503888788,6.938893903907228e-18,1.0
-2.0,-0.045402305912224966,1.2735131497718753e-17,15.552074476887263,-0.045402305912224966,0.0,0.0
-1.9,-0.0545487655446674,1.006800545863567e-17,15.733841484477301,-0.054548765544667394,6.938893903907228e-18,1.0
-1.8,-0.06474047315407026,2.8118408997272905e-17,15.36218512542224,-0.06474047315407022,4.163336342344337e-17,3.0
-1.7,-0.07589410444884384,2.205789479511961e-17,15.536643979626204,-0.07589410444884381,2.7755575615628914e-17,2.0
-1.6,-0.08786303785563847,2.8476619731297836e-17,15.489317779040023,-0.0878630378556385,2.7755575615628914e-17,2.0
-1.5,-0.10042842301976707,2.5069131422403322e-17,15.60271735613457,-0.10042842301976705,1.3877787807814457e-17,1.0
-1.4,-0.1132919328388055,1.6234171003759507e-17,15.84376886989811,-0.11329193283880548,1.3877787807814457e-17,1.0
-1.3,-0.1260709876826906,2.013601091727134e-17,15.796641717252127,-0.1260709876826906,0.0,0.0
-1.2,-0.13829723086213505,4.223765283376991e-17,15.515113708031269,-0.1382972308621351,5.551115123125783e-17,2.0
-1.1,-0.14941895382548914,2.7015293524017968e-17,15.742796000763217,-0.14941895382548914,0.0,0.0
-1.0,-0.15880800939172332,5.623681799454581e-17,15.450851662689018,-0.15880800939172326,5.551115123125783e-17,2.0
-0.9,-0.16577151129027942,1.910269724657813e-17,15.93841520410212,-0.16577151129027942,0.0,0.0
-0.8,-0.1695683085635519,2.6254146160612427e-17,15.810146789427124,-0.1695683085635519,0.0,0.0
-0.7,-0.16942986529488327,3.4876593970475557e-17,15.686455900190833,-0.16942986529488324,2.7755575615628914e-17,1.0
-0.6,-0.16458480076918525,3.2468342007519015e-17,15.704929614105799,-0.16458480076918525,0.0,0.0
-0.5,-0.15428599017485606,2.8476619731297836e-17,15.73383805622791,-0.15428599017485609,2.7755575615628914e-17,1.0
-0.4,-0.13783883057264382,2.8476619731297836e-17,15.684883144056045,-0.13783883057264382,0.0,0.0
-0.3,-0.11462907645724077,2.6827031345218492e-17,15.630722176701179,-0.11462907645724074,2.7755575615628914e-17,2.0
-0.2,-0.08414857021789371,1.4238309865648918e-17,15.771588301033399,-0.08414857021789372,1.3877787807814457e-17,1.0
-0.1,-0.04601724895456484,6.165369025303281e-18,15.872961575512644,-0.04601724895456484,0.0,0.0
0.0,0.0,0.0,inf,0.0,0.0,0.0
0.1,0.053982751045435165,0.0,inf,0.05398275104543517,6.938893903907228e-18,1.0
0.2,0.11585142978210627,0.0,inf,0.11585142978210629,1.3877787807814457e-17,1.0
0.3,0.18537092354275927,5.835970407351253e-17,15.501928532617324,0.18537092354275925,2.7755575615628914e-17,1.0
0.4,0.2621611694273563,9.530099767995371e-17,15.439470918472663,0.2621611694273562,1.1102230246251565e-16,2.0
0.5,0.345714009825144,7.315776070054505e-17,15.674456575780011,0.34571400982514394,5.551115123125783e-17,1.0
0.6,0.4354151992308147,6.107554509029232e-17,15.853036233401724,0.43541519923081473,5.551115123125783e-17,1.0
0.7,0.5305701347051168,1.2735131497718752e-16,15.619739366636953,0.5305701347051167,1.1102230246251565e-16,1.0
0.8,0.6304316914364481,1.1390647892519134e-16,15.743089609598062,0.6304316914364482,1.1102230246251565e-16,1.0
0.9,0.7342284887097206,1.5700924586837752e-16,15.669906003860941,0.7342284887097207,1.1102230246251565e-16,1.0
1.0,0.8411919906082765,1.6895061133507964e-16,15.697135361332583,0.8411919906082768,2.220446049250313e-16,2.0
1.1,0.9505810461745108,1.854263135156602e-16,15.709817786427609,0.9505810461745109,1.1102230246251565e-16,1.0
1.2,1.0617027691378653,4.3820697384774576e-16,15.384323665225395,1.0617027691378649,4.440892098500626e-16,2.0
1.3,1.1739290123173094,2.278129578503827e-16,15.71206341301746,1.1739290123173094,0.0,0.0
1.4,1.2867080671611941,2.278129578503827e-16,15.751901600996902,1.2867080671611946,4.440892098500626e-16,2.0
1.5,1.3995715769802328,2.0376210396350005e-16,15.836871697762147,1.3995715769802328,0.0,0.0
1.6,1.5121369621443612,4.498945439563665e-16,15.526480402925005,1.5121369621443617,4.440892098500626e-16,2.0
1.7,1.6241058955511563,2.5470262995437504e-16,15.80458091352465,1.6241058955511563,0.0,0.0
1.8,1.73525952684593,3.0564315594525006e-16,15.754149762045298,1.7352595268459299,2.220446049250313e-16,1.0
1.9,1.8454512344553327,2.278129578503827e-16,15.908524150741718,1.8454512344553324,2.220446049250313e-16,1.0
2.0,1.9545976940877747,3.565836819361251e-16,15.738895917070264,1.9545976940877752,4.440892098500626e-16,2.0
2.1,2.062669004961113,6.758024453403185e-16,15.484609783731663,2.0626690049611125,4.440892098500626e-16,1.0
2.2,2.1696785270380112,7.8916723523882e-16,15.439226345011834,2.1696785270380117,4.440892098500626e-16,1.0
2.3,2.2756729702040808,2.278129578503827e-16,15.999531428286202,2.2756729702040808,0.0,0.0
2.4,2.3807231538443987,6.680787351615423e-16,15.551881247270304,2.3807231538443983,4.440892098500626e-16,1.0
2.5,2.484915733910001,4.556259157007654e-16,15.736703247446675,2.484915733910001,0.0,0.0
2.6,2.5883460823147573,5.486462556459613e-16,15.673729924871523,2.5883460823147573,0.0,0.0
2.7,2.6911124053605326,3.3790122267015927e-16,15.901142074995402,2.691112405360532,4.440892098500626e-16,1.0
2.8,2.79331110639312,3.3790122267015927e-16,15.917329544915866,2.7933111063931206,4.440892098500626e-16,1.0
2.9,2.895033333764529,6.758024453403185e-16,15.631833809707883,2.895033333764528,8.881784197001252e-16,2.0
3.0,2.9963626079182277,8.401326771395977e-16,15.55224649178976,2.9963626079182273,4.440892098500626e-16,1.0
3.1,3.09737338976945,1.4408156546142918e-16,16.332385144417298,3.09737338976945,0.0,0.0
3.2,3.1981304348379154,4.556259157007654e-16,15.846287753855508,3.198130434837916,4.440892098500626e-16,1.0
3.3,3.2986887718816638,4.556259157007654e-16,15.859732923718303,3.2986887718816638,0.0,0.0
3.4,3.399094149016547,7.346747138368236e-16,15.665268101476133,3.399094149016546,8.881784197001252e-16,2.0
3.5,3.4993838023446258,4.075242079270001e-16,15.933838165275597,3.4993838023446266,8.881784197001252e-16,2.0
3.6,3.5995874197858364,2.695519268533548e-16,16.12561028466108,3.5995874197858364,0.0,0.0
3.7,3.699728193978609,9.112518314015307e-16,15.60853140499392,3.699728193978608,8.881784197001252e-16,2.0
3.8,3.7998238807828573,1.0877919644084146e-15,15.543217621504684,3.799823880782858,8.881784197001252e-16,2.0
3.9,3.89988780230813,2.8816313092285836e-16,16.131413698629117,3.89988780230813,0.0,0.0
