x,mean,std_dev,significant_digits,ulp_error
-10.0,-320.0,3.688488075812587e-14,15.93830159451552,0.0
-9.9,-316.8,3.4502646637229414e-14,15.962932762601914,0.0
-9.8,-313.6000000000001,5.684341886080802e-14,15.741695863227573,0.0
-9.7,-310.3999999999999,6.649516443139894e-14,15.669131648292328,0.0
-9.6,-307.2,4.325135650178039e-14,15.851421478471948,0.0
-9.5,-304.0,3.194324375209682e-14,15.97849456810852,0.0
-9.4,-300.8,2.9160058604848984e-14,16.013489439443184,0.0
-9.3,-297.6000000000001,5.050670305528448e-14,15.770283907037587,0.0
-9.2,-294.3999999999999,7.824464792198402e-14,15.575483164973404,0.0
-9.1,-291.19999999999993,5.976033697127683e-14,15.687778332965626,0.0
-9.0,-288.0,2.9160058604848984e-14,15.994604095282808,0.0
-8.9,-284.80000000000007,6.116665495585157e-14,15.668025254245302,0.0
-8.8,-281.6000000000001,4.87941108121363e-14,15.761265242322542,0.0
-8.7,-278.3999999999999,5.976033697127683e-14,15.668256193263153,0.0
-8.6,-275.19999999999993,7.022672072268304e-14,15.593146040305582,0.0
-8.5,-272.0,4.1238550358571706e-14,15.819265513725785,0.0
-8.4,-268.8,3.688488075812587e-14,15.862580880577402,0.0
-8.3,-265.6000000000001,5.050670305528448e-14,15.720879050859727,0.0
-8.2,-262.3999999999999,7.824464792198402e-14,15.525509190011565,0.0
-8.1,-259.19999999999993,7.932393542937014e-14,15.514230744856645,0.0
-8.0,-256.0,1.8442440379062935e-14,16.142421577171447,0.0
-7.9,-252.80000000000004,2.76636605685944e-14,15.960867422414262,0.0
-7.8,-249.60000000000005,5.832011720969797e-14,15.631426192869982,0.0
-7.7,-246.39999999999995,6.355287432313019e-14,15.588505506203532,0.0
-7.6,-243.19999999999996,2.9160058604848984e-14,15.921175178124274,0.0
-7.5,-240.0,0.0,inf,0.0
-7.4,-236.80000000000004,2.76636605685944e-14,15.932472050854798,0.0
-7.3,-233.60000000000005,5.832011720969797e-14,15.602654450299958,0.0
-7.2,-230.4,1.597162187604841e-14,16.159133454914922,0.0
-7.1,-227.19999999999996,2.9160058604848984e-14,15.89161993456256,0.0
-7.0,-224.0,0.0,inf,0.0
-6.9,-220.80000000000004,2.525335152764224e-14,15.941680044884889,0.0
-6.8,-217.6,0.0,inf,0.0
-6.7,-214.40000000000003,2.6884245668467125e-14,15.901726925687164,0.0
-6.6,-211.19999999999996,2.9160058604848984e-14,15.859905521385352,0.0
-6.5,-208.0,0.0,inf,0.0
-6.4,-204.80000000000004,2.842170943040401e-14,15.857679757182947,0.0
-6.3,-201.59999999999997,2.9160058604848984e-14,15.839702135297065,0.0
-6.2,-198.40000000000003,2.76636605685944e-14,15.855632020622075,0.0
-6.1,-195.19999999999996,2.9160058604848984e-14,15.82569142085425,0.0
-6.0,-192.0,0.0,inf,0.0
-5.9,-188.80000000000004,2.6081549307328006e-14,15.859668603989656,0.0
-5.8,-185.59999999999997,2.9160058604848984e-14,15.803789579406422,0.0
-5.7,-182.40000000000003,2.525335152764224e-14,15.858705809820124,0.0
-5.6,-179.19999999999996,2.76636605685944e-14,15.811428358130021,0.0
-5.5,-176.0,1.7251323318614707e-14,16.00869025316259,0.0
-5.4,-172.80000000000004,2.842170943040401e-14,15.783893543022028,0.0
-5.3,-169.6,1.9561161980496004e-14,15.938031198556601,0.0
-5.2,-166.40000000000003,3.966196771468507e-14,15.622779065276776,0.0
-5.1,-163.19999999999996,2.76636605685944e-14,15.770810507221757,0.0
-5.0,-160.0,1.9561161980496004e-14,15.912725333291831,0.0
-4.9,-156.80000000000004,3.511336036134152e-14,15.64987366475451,0.0
-4.8,-153.6,1.4580029302424492e-14,16.022632818883054,0.0
-4.7,-150.4,3.2601936634160006e-14,15.664004437275173,0.0
-4.6,-147.19999999999996,2.6884245668467125e-14,15.738409954667912,0.0
-4.5,-144.0,1.4580029302424492e-14,15.994604095282808,0.0
-4.4,-140.80000000000004,3.511336036134152e-14,15.603130261212184,0.0
-4.3,-137.59999999999997,3.194324375209682e-14,15.634239418399257,0.0
-4.2,-134.4,3.630398019018373e-14,15.568445027156239,0.0
-4.1,-131.19999999999996,2.76636605685944e-14,15.676024187843556,0.0
-4.0,-128.0,1.8442440379062935e-14,15.841391581507464,0.0
-3.9,-124.80000000000003,3.4348271604995505e-14,15.560309696972626,0.0
-3.8,-121.59999999999998,1.262667576382112e-14,15.983644546428424,0.0
-3.7,-118.40000000000002,1.4210854715202004e-14,15.920731502930035,0.0
-3.6,-115.19999999999997,2.842170943040401e-14,15.607802283966347,0.0
-3.5,-112.0,5.64682106755062e-15,16.2974139963299,0.0
-3.4,-108.8,7.985810938024206e-15,16.13430987118989,0.0
-3.3,-105.59999999999998,1.4210854715202004e-14,15.871043718740928,0.0
-3.2,-102.40000000000002,1.6623791107849736e-14,15.789569883673952,0.0
-3.1,-99.20000000000002,1.4580029302424492e-14,15.832753275341737,0.0
-3.0,-96.0,5.64682106755062e-15,16.230467206699288,0.0
-2.9,-92.79999999999998,1.4210854715202004e-14,15.814927776761998,0.0
-2.8,-89.59999999999998,6.5203873268320016e-15,16.138034615017695,0.0
-2.7,-86.40000000000002,2.3282439710474286e-14,15.569485255449475,0.0
-2.6,-83.20000000000002,1.3442122834233563e-14,15.791655466621137,0.0
-2.5,-80.0,1.0309637589642927e-14,15.889846588011492,0.0
-2.4,-76.79999999999998,1.4580029302424492e-14,15.72160282321907,0.0
-2.3,-73.59999999999997,1.5635339543114833e-14,15.672770497348251,0.0
-2.2,-70.40000000000002,1.8442440379062935e-14,15.581754271001708,0.0
-2.1,-67.20000000000002,1.5635339543114833e-14,15.633261956064578,0.0
-2.0,-64.0,8.625661659307354e-15,15.870387554996308,0.0
-1.9,-60.79999999999999,6.721061417116781e-15,15.956465715267129,0.0
-1.8,-57.59999999999999,1.4580029302424492e-14,15.59666408661077,0.0
-1.7,-54.4,5.406419562722548e-15,16.0026891538026,0.0
-1.6,-51.20000000000001,6.9159151421486e-15,15.869420305107708,0.0
-1.5,-48.0,2.305305047382867e-15,16.31851283622713,0.0
-1.4,-44.79999999999999,6.721061417116781e-15,15.823840149992538,0.0
-1.3,-41.60000000000001,6.5203873268320016e-15,15.80481993598231,0.0
-1.2,-38.4,4.610610094765734e-15,15.92057282755509,0.0
-1.1,-35.20000000000001,8.47023160132593e-15,15.618647378082168,0.0
