# Verificarlo Analysis for parallel_5
# Source: parallel_5.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [-10.0:0.1:10.0], Iterations: 20
i x result
1 -10.0 -3.20000000000000000e+02
2 -10.0 -3.20000000000000000e+02
3 -10.0 -3.19999999999999943e+02
4 -10.0 -3.20000000000000000e+02
5 -10.0 -3.20000000000000000e+02
6 -10.0 -3.19999999999999943e+02
7 -10.0 -3.20000000000000000e+02
8 -10.0 -3.19999999999999943e+02
9 -10.0 -3.19999999999999943e+02
10 -10.0 -3.19999999999999943e+02
11 -10.0 -3.20000000000000000e+02
12 -10.0 -3.20000000000000000e+02
13 -10.0 -3.19999999999999943e+02
14 -10.0 -3.20000000000000000e+02
15 -10.0 -3.19999999999999943e+02
16 -10.0 -3.20000000000000000e+02
17 -10.0 -3.19999999999999943e+02
18 -10.0 -3.20000000000000000e+02
19 -10.0 -3.20000000000000000e+02
20 -10.0 -3.20000000000000000e+02
1 -9.9 -3.16799999999999955e+02
2 -9.9 -3.16799999999999955e+02
3 -9.9 -3.16800000000000011e+02
4 -9.9 -3.16800000000000011e+02
5 -9.9 -3.16800000000000011e+02
6 -9.9 -3.16800000000000011e+02
7 -9.9 -3.16800000000000011e+02
8 -9.9 -3.16800000000000011e+02
9 -9.9 -3.16800000000000011e+02
10 -9.9 -3.16800000000000068e+02
11 -9.9 -3.16800000000000011e+02
12 -9.9 -3.16800000000000011e+02
13 -9.9 -3.16800000000000011e+02
14 -9.9 -3.16799999999999955e+02
15 -9.9 -3.16800000000000011e+02
16 -9.9 -3.16800000000000068e+02
17 -9.9 -3.16799999999999955e+02
18 -9.9 -3.16800000000000068e+02
19 -9.9 -3.16800000000000011e+02
20 -9.9 -3.16800000000000011e+02
1 -9.8 -3.13600000000000023e+02
2 -9.8 -3.13600000000000023e+02
3 -9.8 -3.13600000000000023e+02
4 -9.8 -3.13600000000000023e+02
5 -9.8 -3.13600000000000023e+02
6 -9.8 -3.13600000000000023e+02
7 -9.8 -3.13600000000000023e+02
8 -9.8 -3.13600000000000023e+02
9 -9.8 -3.13600000000000023e+02
10 -9.8 -3.13600000000000023e+02
11 -9.8 -3.13600000000000023e+02
12 -9.8 -3.13599999999999966e+02
13 -9.8 -3.13600000000000023e+02
14 -9.8 -3.13600000000000023e+02
15 -9.8 -3.13599999999999966e+02
16 -9.8 -3.13600000000000023e+02
17 -9.8 -3.13600000000000023e+02
18 -9.8 -3.13600000000000023e+02
19 -9.8 -3.13600000000000080e+02
20 -9.8 -3.13600000000000023e+02
1 -9.7 -3.10400000000000034e+02
2 -9.7 -3.10400000000000034e+02
3 -9.7 -3.10399999999999977e+02
4 -9.7 -3.10399999999999977e+02
5 -9.7 -3.10399999999999977e+02
6 -9.7 -3.10399999999999920e+02
