x,mean,std_dev,significant_digits,ulp_error
-10.0,-80.0,8.625661659307354e-15,15.967297568004364,0.0
-9.9,-79.20000000000002,1.3442122834233563e-14,15.770257321919907,0.0
-9.8,-78.40000000000002,2.842170943040401e-14,15.440665867563592,0.0
-9.7,-77.59999999999998,3.2601936634160008e-15,16.37661832227774,0.0
-9.6,-76.79999999999998,1.129364213510124e-14,15.832527198027249,0.0
-9.5,-76.0,6.5203873268320016e-15,16.06654019763636,0.0
-9.4,-75.20000000000002,1.38318302842972e-14,15.735338189059538,0.0
-9.3,-74.40000000000002,1.9561161980496004e-14,15.580178286181784,0.0
-9.2,-73.59999999999998,5.64682106755062e-15,16.11507378799722,0.0
-9.1,-72.79999999999998,1.3442122834233563e-14,15.73366351964345,0.0
-9.0,-72.0,1.0812839125445097e-14,15.823392754871705,0.0
-8.9,-71.2,8.625661659307354e-15,15.916687574649277,0.0
-8.8,-70.40000000000002,2.0359902902424065e-14,15.538796956648412,0.0
-8.7,-69.59999999999998,1.7856816112883485e-14,15.590805213270281,0.0
-8.6,-68.79999999999998,1.5635339543114833e-14,15.643481121246264,0.0
-8.5,-68.0,8.625661659307354e-15,15.896716493718657,0.0
-8.4,-67.20000000000002,1.7251323318614707e-14,15.590546858402265,0.0
-8.3,-66.40000000000002,1.694046320265186e-14,15.593242798308074,0.0
-8.2,-65.59999999999998,1.9561161980496004e-14,15.525509190011565,0.0
-8.1,-64.79999999999998,1.5635339543114833e-14,15.617467688881346,0.0
-8.0,-64.0,5.877397710694589e-15,16.036994894514,0.0
-7.9,-63.20000000000001,6.9159151421486e-15,15.960867422414262,0.0
-7.8,-62.40000000000001,1.546445638446439e-14,15.605849931646292,0.0
-7.7,-61.59999999999999,1.670352197825861e-14,15.566772659312987,0.0
-7.6,-60.79999999999999,8.150484158540001e-15,15.872720171620246,0.0
-7.5,-60.0,2.82341053377531e-15,16.327377219707344,0.0
-7.4,-59.20000000000001,6.5203873268320016e-15,15.958048312078487,0.0
-7.3,-58.40000000000001,1.5378302753758526e-14,15.579504440473475,0.0
-7.2,-57.6,2.82341053377531e-15,16.309648452746913,0.0
-7.1,-56.79999999999999,5.64682106755062e-15,16.002544309370737,0.0
-7.0,-56.0,4.610610094765734e-15,16.08442963019376,0.0
-6.9,-55.20000000000001,6.721061417116781e-15,15.914501213723593,0.0
-6.8,-54.40000000000001,1.6137135331680066e-14,15.527772458535463,0.0
-6.7,-53.60000000000001,6.31333788191056e-15,15.92890575684846,0.0
-6.6,-52.79999999999999,6.9159151421486e-15,15.88278426666569,0.0
-6.5,-52.0,3.645007325606123e-15,16.15430493815032,0.0
-6.4,-51.20000000000001,6.9159151421486e-15,15.869420305107708,0.0
-6.3,-50.39999999999999,6.31333788191056e-15,15.902171503601215,0.0
-6.2,-49.60000000000001,6.31333788191056e-15,15.895222643645887,0.0
-6.1,-48.79999999999999,6.721061417116781e-15,15.860981957997105,0.0
-6.0,-48.0,4.610610094765734e-15,16.017482840563147,0.0
-5.9,-47.20000000000001,6.721061417116781e-15,15.846504134628482,0.0
-5.8,-46.4,4.312830829653677e-15,16.031755557231282,0.0
-5.7,-45.60000000000001,6.5203873268320016e-15,15.844691448020003,0.0
-5.6,-44.79999999999999,7.105427357601002e-15,15.79968781020526,0.0
-5.5,-44.0,5.154818794821463e-15,15.931239273169718,0.0
-5.4,-43.20000000000001,6.9159151421486e-15,15.79563409094679,0.0
-5.3,-42.4,4.610610094765734e-15,15.963607459780292,0.0
-5.2,-41.60000000000001,6.5203873268320016e-15,15.80481993598231,0.0
-5.1,-40.79999999999999,6.31333788191056e-15,15.81040113024557,0.0
-5.0,-40.0,4.610610094765734e-15,15.93830159451552,0.0
-4.9,-39.20000000000001,6.5203873268320016e-15,15.779012672376025,0.0
-4.8,-38.39999999999999,7.470042121409604e-15,15.711008173684101,0.0
-4.7,-37.60000000000001,6.721061417116781e-15,15.747749980922055,0.0
-4.6,-36.79999999999999,6.721061417116781e-15,15.738409954667912,0.0
-4.5,-36.0,2.82341053377531e-15,16.105528470090988,0.0
