x,mean,std_deviation,significant_digits
-10.0,-80.0,8.407255028117242e-15,15.954589770191001
-9.9,-79.2,8.987733679556355e-15,15.945074986468647
-9.8,-78.40000000000002,2.0097183471152322e-14,15.591180865395582
-9.7,-77.59999999999998,1.4210854715202004e-14,15.737241521801323
-9.6,-76.79999999999998,1.556721137788958e-14,15.693150397550834
-9.5,-76.0,6.355287432313019e-15,15.954589770191001
-9.4,-75.20000000000002,1.7404671430534633e-14,15.635552011606936
-9.3,-74.40000000000002,1.5239443903799964e-14,15.688603815912208
-9.2,-73.59999999999998,1.5888218580782548e-14,15.665802608376605
-9.1,-72.8,9.532931148469528e-15,15.8829049229685
-9.0,-72.0,1.0539051923921737e-14,15.834530952227281
-8.9,-71.2,8.407255028117242e-15,15.927825772004853
-8.8,-70.40000000000002,1.984437864702065e-14,15.549935154003988
-8.7,-69.59999999999998,1.7404671430534633e-14,15.601943410625857
-8.6,-68.79999999999998,1.5239443903799964e-14,15.65461931860184
-8.5,-68.0,8.407255028117242e-15,15.907854691074233
-8.4,-67.20000000000002,1.6814510056234485e-14,15.60168505575784
-8.3,-66.40000000000002,1.6511521094205152e-14,15.60438099566365
-8.2,-65.59999999999998,1.9065862296939057e-14,15.536647387367141
-8.1,-64.79999999999998,1.5239443903799964e-14,15.628605886236922
-8.0,-64.0,6.355287432313019e-15,15.954589770191001
-7.9,-63.20000000000001,7.78360568894479e-15,15.909536251465688
-7.8,-62.40000000000001,1.507288760336424e-14,15.616988129001868
-7.7,-61.59999999999999,1.507288760336424e-14,15.61138425148387
-7.6,-60.79999999999999,1.0048591735576161e-14,15.78179837764786
-7.5,-60.0,2.7519201823675253e-15,15.954589770191001
-7.4,-59.20000000000001,6.925513918651634e-15,15.931869700285612
-7.3,-58.40000000000001,1.498891543130937e-14,15.59064263782905
-7.2,-57.59999999999999,1.498891543130937e-14,15.584652274139863
-7.1,-56.79999999999999,7.280896430443988e-15,15.892163482383166
-7.0,-56.0,4.4938668397781774e-15,15.954589770191001
-6.9,-55.20000000000001,8.101433657963767e-15,15.833377197782896
-6.8,-54.40000000000001,1.572853393922362e-14,15.538910655891039
-6.7,-53.60000000000001,7.280896430443988e-15,15.866979936364917
-6.6,-52.79999999999999,8.702335715267317e-15,15.782998089213088
-6.5,-52.0,3.552713678800501e-15,15.954589770191001
-6.4,-51.20000000000001,8.702335715267317e-15,15.769634127655106
-6.3,-50.39999999999999,6.153480596427404e-15,15.913309700956791
-6.2,-49.60000000000001,7.280896430443988e-15,15.833296823162344
-6.1,-48.79999999999999,8.55606755492907e-15,15.75614561709234
-6.0,-48.0,4.4938668397781774e-15,15.954589770191001
-5.9,-47.20000000000001,7.619721951899982e-15,15.792002874664398
-5.8,-46.4,4.203627514058621e-15,15.954589770191001
-5.7,-45.60000000000001,7.452235082682191e-15,15.786678296292438
-5.6,-44.79999999999999,9.26434382393303e-15,15.684463349516124
-5.5,-44.0,5.0242958677880805e-15,15.942377470525294
-5.4,-43.20000000000001,8.255760547102576e-15,15.718726658774525
-5.3,-42.4,4.4938668397781774e-15,15.954589770191001
-5.2,-41.60000000000001,8.407255028117242e-15,15.69443910899474
-5.1,-40.79999999999999,7.280896430443988e-15,15.748475309762027
-5.0,-40.0,4.4938668397781774e-15,15.949439791871097
-4.9,-39.20000000000001,6.925513918651634e-15,15.75283406058315
-4.8,-38.39999999999999,7.280896430443988e-15,15.722146371039678
-4.7,-37.60000000000001,7.105427357601002e-15,15.723597641134777
-4.6,-36.79999999999999,8.55606755492907e-15,15.633573613763145
-4.5,-36.0,2.7519201823675253e-15,15.954589770191001
-4.4,-35.20000000000001,8.55606755492907e-15,15.614268458567759
-4.3,-34.39999999999999,6.925513918651634e-15,15.696106436134222
-4.2,-33.60000000000001,7.105427357601002e-15,15.67474907359696
-4.1,-32.79999999999999,6.153480596427404e-15,15.726753008222945
-4.0,-32.0,1.9459014222361975e-15,15.954589770191001
-3.9,-31.200000000000006,7.619721951899982e-15,15.612215470048753
-3.8,-30.399999999999995,4.4938668397781774e-15,15.830253384151888
-3.7,-29.600000000000005,4.127880273551288e-15,15.855564618682532
-3.6,-28.799999999999994,7.78360568894479e-15,15.568211660942534
-3.5,-28.0,1.7763568394002505e-15,15.954589770191001
-3.4,-27.2,1.9459014222361975e-15,15.954589770191001
-3.3,-26.399999999999995,3.462756959325817e-15,15.882181916096505
-3.2,-25.600000000000005,3.891802844472395e-15,15.818089134159134
-3.1,-24.800000000000004,3.552713678800501e-15,15.843891472697313
-3.0,-24.0,1.9459014222361975e-15,15.954589770191001
-2.9,-23.199999999999996,3.972054645195637e-15,15.766472770257968
-2.8,-22.399999999999995,4.4230928601467425e-15,15.704521961120115
-2.7,-21.600000000000005,4.632171911966515e-15,15.668669082332892
-2.6,-20.8,1.7763568394002505e-15,15.954589770191001
-2.5,-20.0,2.2469334198890887e-15,15.949439791871097
-2.4,-19.199999999999996,3.640448215221994e-15,15.722146371039678
