x0,x1,x2,mean,std,min,max,count,sig_digits
50.0,-50.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-49.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-49.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-48.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-48.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-47.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-47.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-46.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-46.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-45.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-45.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-44.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-44.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-43.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-43.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-42.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-42.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-41.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-41.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-40.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.0,-40.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-50.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-49.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-49.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-48.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-48.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-47.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-47.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-46.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-46.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-45.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-45.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-44.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-44.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-43.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-43.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-42.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-42.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-41.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-41.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-40.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
50.5,-40.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-50.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-49.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-49.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-48.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-48.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-47.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-47.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-46.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-46.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-45.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-45.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-44.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-44.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-43.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-43.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-42.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-42.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-41.5,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
51.0,-41.0,0.0,1.0,0.0,1.0,1.0,10,7.224719895935548
