x,mean,std_dev,significant_digits
-1.0,-1.0,0.0,15.954589770191001
-0.99,-0.9899999999999997,3.3306690738754696e-16,15.47310371006889
-0.98,-0.9800000000000001,1.1102230246251565e-16,15.945815845883498
-0.97,-0.9699999999999998,2.220446049250313e-16,15.640331508793267
-0.96,-0.9600000000000002,2.220446049250313e-16,15.63583100756659
-0.95,-0.9499999999999998,1.1102230246251565e-16,15.93231337547985
-0.94,-0.9400000000000001,1.1102230246251565e-16,15.927717623790702
-0.93,-0.93,0.0,15.954589770191001
-0.92,-0.9200000000000003,2.220446049250313e-16,15.617347601872577
-0.91,-0.9099999999999999,1.1102230246251565e-16,15.913631162512097
-0.9,-0.8999999999999998,2.220446049250313e-16,15.607802283966347
-0.89,-0.89,0.0,15.954589770191001
-0.88,-0.8800000000000001,1.1102230246251565e-16,15.899072442341172
-0.87,-0.8699999999999999,1.1102230246251565e-16,15.894109022809621
-0.86,-0.86,0.0,15.954589770191001
-0.85,-0.85,0.0,15.954589770191001
-0.84,-0.8400000000000001,1.1102230246251565e-16,15.878869056252885
-0.83,-0.8299999999999998,1.1102230246251565e-16,15.873667862567077
-0.82,-0.82,0.0,15.954589770191001
-0.81,-0.8100000000000002,1.1102230246251565e-16,15.863074789069653
-0.8,-0.8000000000000002,1.1102230246251565e-16,15.857679757182947
-0.79,-0.7899999999999998,2.220446049250313e-16,15.551186865817463
-0.78,-0.7799999999999999,1.1102230246251565e-16,15.846684372881484
-0.77,-0.7699999999999999,1.1102230246251565e-16,15.841080495363485
-0.76,-0.76,0.0,15.954589770191001
-0.75,-0.75,0.0,15.954589770191001
-0.74,-0.74,0.0,15.954589770191001
-0.73,-0.7300000000000001,1.1102230246251565e-16,15.81791263031146
-0.72,-0.7200000000000001,1.1102230246251565e-16,15.811922266622272
-0.71,-0.7100000000000002,2.220446049250313e-16,15.504818123246098
-0.7,-0.6999999999999998,1.1102230246251565e-16,15.79968781020526
-0.69,-0.6899999999999998,1.1102230246251565e-16,15.793438860928259
-0.68,-0.6799999999999999,1.1102230246251565e-16,15.78709868289724
-0.67,-0.67,0.0,15.954589770191001
-0.66,-0.66,0.0,15.954589770191001
-0.65,-0.6500000000000001,1.1102230246251565e-16,15.767503126833859
-0.64,-0.6400000000000001,1.1102230246251565e-16,15.76076974417489
-0.63,-0.6300000000000001,1.1102230246251565e-16,15.753930319644585
-0.62,-0.6199999999999999,1.1102230246251565e-16,15.746981459689257
-0.61,-0.6099999999999999,1.1102230246251565e-16,15.73991960520177
-0.6,-0.5999999999999999,1.1102230246251565e-16,15.732741020574647
-0.59,-0.59,0.0,15.954589770191001
-0.58,-0.58,0.0,15.954589770191001
-0.57,-0.5700000000000001,1.1102230246251565e-16,15.710464625863494
-0.56,-0.5600000000000002,1.1102230246251565e-16,15.702777797197204
-0.55,-0.5500000000000002,1.1102230246251565e-16,15.694952459685247
-0.54,-0.5399999999999998,2.220446049250313e-16,15.38595353434999
-0.53,-0.5299999999999999,1.1102230246251565e-16,15.678865639791793
-0.52,-0.5199999999999999,1.1102230246251565e-16,15.670593113825802
-0.51,-0.51,0.0,15.954589770191001
-0.5,-0.5,0.0,15.954589770191001
-0.49,-0.49000000000000005,5.551115123125783e-17,15.945815845883498
-0.48,-0.4800000000000001,1.1102230246251565e-16,15.63583100756659
-0.47,-0.47000000000000003,5.551115123125783e-17,15.927717623790702
-0.46,-0.46000000000000013,1.1102230246251565e-16,15.617347601872577
-0.45,-0.4499999999999999,1.1102230246251565e-16,15.607802283966347
-0.44,-0.44000000000000006,5.551115123125783e-17,15.899072442341172
-0.43,-0.43,0.0,15.954589770191001
-0.42,-0.42000000000000004,5.551115123125783e-17,15.878869056252885
-0.41,-0.41,0.0,15.954589770191001
-0.4,-0.4000000000000001,5.551115123125783e-17,15.857679757182947
-0.39,-0.38999999999999996,5.551115123125783e-17,15.846684372881484
-0.38,-0.38,0.0,15.954589770191001
-0.37,-0.37,0.0,15.954589770191001
-0.36,-0.36000000000000004,5.551115123125783e-17,15.811922266622272
-0.35,-0.3499999999999999,5.551115123125783e-17,15.79968781020526
-0.34,-0.33999999999999997,5.551115123125783e-17,15.78709868289724
-0.33,-0.33,0.0,15.954589770191001
-0.32,-0.32000000000000006,5.551115123125783e-17,15.76076974417489
-0.31,-0.30999999999999994,5.551115123125783e-17,15.746981459689257
-0.3,-0.29999999999999993,5.551115123125783e-17,15.732741020574647
-0.29,-0.29,0.0,15.954589770191001
-0.28,-0.2800000000000001,5.551115123125783e-17,15.702777797197204
-0.27,-0.2699999999999999,1.1102230246251565e-16,15.38595353434999
-0.26,-0.25999999999999995,5.551115123125783e-17,15.670593113825802
-0.25,-0.25,0.0,15.954589770191001
-0.24,-0.24000000000000005,5.551115123125783e-17,15.63583100756659
-0.23,-0.23000000000000007,5.551115123125783e-17,15.617347601872577
-0.22,-0.22000000000000003,2.7755575615628914e-17,15.899072442341172
-0.21,-0.21000000000000002,2.7755575615628914e-17,15.878869056252885
-0.2,-0.20000000000000004,2.7755575615628914e-17,15.857679757182947
-0.19,-0.19,0.0,15.954589770191001
-0.18,-0.18000000000000002,2.7755575615628914e-17,15.811922266622272
-0.17,-0.16999999999999998,2.7755575615628914e-17,15.78709868289724
-0.16,-0.16000000000000003,2.7755575615628914e-17,15.76076974417489
-0.15,-0.14999999999999997,2.7755575615628914e-17,15.732741020574647
-0.14,-0.14000000000000004,2.7755575615628914e-17,15.702777797197204
-0.13,-0.12999999999999998,2.7755575615628914e-17,15.670593113825802
-0.12,-0.12000000000000002,2.7755575615628914e-17,15.63583100756659
-0.11,-0.11000000000000001,1.3877787807814457e-17,15.899072442341172
-0.1,-0.10000000000000002,1.3877787807814457e-17,15.857679757182947
-0.09,-0.09000000000000001,1.3877787807814457e-17,15.811922266622272
-0.08,-0.08000000000000002,1.3877787807814457e-17,15.76076974417489
-0.07,-0.07000000000000002,1.3877787807814457e-17,15.702777797197204
-0.06,-0.06000000000000001,1.3877787807814457e-17,15.63583100756659
-0.05,-0.05000000000000001,6.938893903907228e-18,15.857679757182947
-0.04,-0.04000000000000001,6.938893903907228e-18,15.76076974417489
-0.03,-0.030000000000000006,6.938893903907228e-18,15.63583100756659
-0.02,-0.020000000000000004,3.469446951953614e-18,15.76076974417489
-0.01,-0.010000000000000002,1.734723475976807e-18,15.76076974417489
0.0,1.0,1.1102230246251565e-16,15.954589770191001
0.01,0.8999999999999998,2.220446049250313e-16,15.607802283966347
0.02,0.8585786437626906,8.95090418262362e-17,15.954589770191001
0.03,0.8267949192431123,5.551115123125783e-17,15.954589770191001
0.04,0.8000000000000002,1.737773907273091e-16,15.66309671500068
0.05,0.7763932022500212,1.9860273225978183e-16,15.592096505276704
0.06,0.7550510257216823,7.850462293418876e-17,15.954589770191001
0.07,0.7354248688935409,1.2161883888976234e-16,15.781537458912466
0.08,0.7171572875253811,1.382216518795857e-16,15.715038337042825
0.09,0.6999999999999998,2.0471501066083614e-16,15.533948351684133
0.1,0.6837722339831622,1.6837365821701478e-16,15.608637313555437
0.11,0.66833752096446,1.1102230246251565e-16,15.779585613613666
0.12,0.6535898384862247,1.1905815549843722e-16,15.739546141513364
0.13,0.6394448724536013,2.2065246201687695e-16,15.462094331597148
0.14,0.6258342613226058,9.288792252416251e-17,15.828500085114301
0.15,0.6127016653792584,1.4686870114880517e-16,15.620319806633603
0.16,0.6,7.447602459741819e-17,15.906134763686975
0.17,0.587689437438234,9.930136612989092e-17,15.772192661890436
0.18,0.5757359312880717,1.8742721836921975e-16,15.48739067451106
0.19,0.5641101056459326,1.1102230246251565e-16,15.705953650074086
0.2,0.552786404500042,9.288792252416251e-17,15.774598103429868
0.21,0.541742430504416,9.288792252416251e-17,15.765833602038898
0.22,0.5309584240176569,1.4686870114880517e-16,15.558131261417786
0.23,0.5204168476687279,1.737773907273091e-16,15.476358075719816
0.24,0.5101020514433646,2.2065246201687695e-16,15.363948292485595
0.25,0.5,8.418682910850739e-17,15.773725852182206
0.26,0.4900980486407215,6.080941944488117e-17,15.906312116173726
0.27,0.48038475772933664,1.336885555457667e-16,15.55549498816438
0.28,0.47084973778708195,1.4791404317453769e-16,15.502872924395685
0.29,0.4614835192865496,6.449812927423887e-17,15.854609077520413
0.3,0.452277442494834,8.95090418262362e-17,15.703538019557303
0.31,0.4432235637169978,7.447602459741819e-17,15.77460635464516
0.32,0.43431457505076193,8.599750569898517e-17,15.703318548982427
0.33,0.4255437353461972,9.614813431917819e-17,15.646003339915588
0.34,0.41690481051546985,8.418682910850739e-17,15.694792754170065
0.35,0.4083920216900384,7.550332863779065e-17,15.73311115081312
0.36,0.4000000000000001,8.777083671441753e-17,15.658709752846928
0.37,0.3917237469701781,7.947987303456223e-17,15.692722735354684
0.38,0.3835585997031023,9.036560719766054e-17,15.627828553321574
0.39,0.37550020016016017,7.65168414856311e-17,15.690853138219236
0.4,0.3675444679663241,8.777083671441753e-17,15.621959651943508
0.41,0.35968757625671516,8.864419988414313e-17,15.608275113021893
0.42,0.35192593015921403,4.965068306494546e-17,15.850526039507304
0.43,0.3442561475697999,1.0385185452638061e-16,15.520467448111502
0.44,0.3366750419289201,7.65168414856311e-17,15.6434538882582
0.45,0.32917960675006314,9.288792252416251e-17,15.549473672257967
0.46,0.3217670016874732,6.080941944488117e-17,15.723570646485223
0.47,0.3144345399598956,1.0310738718936457e-16,15.484240464623602
0.48,0.30717967697244913,1.0892074392614739e-16,15.450281880459281
0.49,0.3,7.65168414856311e-17,15.593364220098232
0.5,0.29289321881345237,8.599750569898517e-17,15.532223461829327
0.51,0.285857157145715,8.233634315563857e-17,15.540557495774049
0.52,0.2788897449072021,7.343435057440258e-17,15.579533286569939
0.53,0.2719890110719482,7.947987303456223e-17,15.534294193305344
0.54,0.26515307716504655,7.850462293418876e-17,15.52860143959843
0.55,0.2583801512904336,8.418682910850739e-17,15.487014996038702
0.56,0.2516685226452117,9.614813431917819e-17,15.417888038205746
0.57,0.2450165564729251,7.550332863779065e-17,15.51122933353592
0.58,0.23842268941360914,8.50969834418119e-17,15.447433417239674
0.59,0.23188542521313918,6.049187461416408e-17,15.583576409318528
0.6,0.2254033307585166,7.550332863779065e-17,15.474994230929477
0.61,0.21897503240933455,7.421697677046334e-17,15.469891339910571
0.62,0.21259921259881884,7.264329320467944e-17,15.46636612747169
0.63,0.20627460668062278,6.359601310784502e-17,15.511015877501869
0.64,0.19999999999999996,6.538780067061182e-17,15.485533265621608
0.65,0.193774225170145,5.788884264894048e-17,15.524701142026673
0.66,0.18759615953640396,8.139532547199558e-17,15.362624479166133
0.67,0.181464722812755,8.777083671441753e-17,15.31544197118393
0.68,0.17537887487646792,8.532300504426548e-17,15.312911136846736
0.69,0.1693376137081925,8.972394979902883e-17,15.275845051731855
0.7,0.16333997346592444,8.395774887678495e-17,15.28903169518843
0.71,0.15738502268236423,6.966594189312188e-17,15.353942887776517
0.72,0.15147186257614295,6.597425008528065e-17,15.360957503366164
0.73,0.14559962546824687,6.626552854390356e-17,15.34187259150807
0.74,0.13976747329573733,6.77031259813136e-17,15.314797392755555
0.75,0.1339745962155614,7.23776861244768e-17,15.267417761968508
0.76,0.1282202112918653,5.3388915681938225e-17,15.380505387700126
0.77,0.12250356126078779,8.782567635532834e-17,15.144527211089105
0.78,0.11682391336721532,6.049187461416408e-17,15.28583470684956
0.79,0.11118055826844112,6.575494449202543e-17,15.228100434934424
0.8,0.10557280900008417,5.229551148071768e-17,15.305087662073474
0.81,0.1,7.531177654404661e-17,15.123137107621387
0.82,0.09446148618625835,6.938893903907228e-17,15.133964527005391
0.83,0.08895664208557005,6.883158913749268e-17,15.111390584532554
0.84,0.08348486100883198,8.139532547199558e-17,15.0110082643578
0.85,0.07804555427071125,7.745496612074812e-17,15.00329890095838
0.86,0.07263815045042966,7.782704976483342e-17,14.970034209718897
0.87,0.0672620946911185,6.306381954147435e-17,15.02799011727134
0.88,0.06191684803531403,7.21444777838644e-17,14.933605745733221
0.89,0.05660188679433966,8.205810482861441e-17,14.838709425902495
0.9,0.05131670194948623,6.382273758135892e-17,14.905283308446423
0.91,0.046060798583054355,6.731084752230484e-17,14.835246404444693
0.92,0.04083369533745609,6.344441333773466e-17,14.80862529828862
0.93,0.03563492390070442,6.78097171666755e-17,14.720583902741993
0.94,0.030464028516734194,6.594231344563069e-17,14.664623153867078
0.95,0.02532056551910364,7.397736348098555e-17,14.534374551950398
0.96,0.020204102886728796,5.69665863141938e-17,14.549819376012572
0.97,0.015114219820389524,6.939652803927892e-17,14.3380479913656
0.98,0.01005050633883343,7.941263957916184e-17,14.102298310139252
0.99,0.00501256289338004,7.506237882222875e-17,13.82463751118106
1.0,1.0640595130851829e-17,8.276659221042008e-17,-0.890889155321524
