x0,x1,x2,mean,std_dev,significant_digits,ulp_error
-10.0,-10.0,0.0,4.53958e-05,0.0,inf,2.152159571647644
-10.0,-9.8,0.0,4.539537000000001e-05,4.8304589154070716e-11,5.973023167565894,5.065488416701555
-10.0,-9.6,0.0,4.5394799999999994e-05,7.142808977410281e-21,15.803137071234266,1.5640691071748734
-10.0,-9.4,0.0,4.539412e-05,4.2163702135670847e-11,6.03206086477348,1.7352285608649254
-10.0,-9.2,0.0,4.5393279999999996e-05,4.2163702135670847e-11,6.032052828253768,0.6598584372550249
-10.0,-9.0,0.0,4.539229e-05,3.1622776601753135e-11,6.1569820930586285,6.293066928163171
-10.0,-8.8,0.0,4.5391e-05,0.0,inf,7.444779293611646
-10.0,-8.6,0.0,4.53895e-05,0.0,inf,3.466088706627488
-10.0,-8.4,0.0,4.538768e-05,4.2163702135670847e-11,6.031999247654891,4.682970406487584
-10.0,-8.2,0.0,4.538540000000001e-05,7.142808977410281e-21,15.803047131618701,1.1009124461561441
-10.0,-8.0,0.0,4.538262e-05,4.2163702135670847e-11,6.031950828070936,6.930264601483941
-10.0,-7.8,0.0,4.5379270000000006e-05,4.8304589154070716e-11,5.972869112617684,1.6684572249650955
-10.0,-7.6,0.0,4.5375190000000005e-05,3.1622776601753135e-11,6.156818456572777,7.787667008116841
-10.0,-7.4,0.0,4.53701e-05,0.0,inf,10.263862593099475
-10.0,-7.2,0.0,4.5364e-05,0.0,inf,0.5826809853315353
-10.0,-7.0,0.0,4.535651e-05,3.1622776601753135e-11,6.156639629965614,0.21876576729118824
-10.0,-6.8,0.0,4.534739999999999e-05,7.142808977410281e-21,15.802683355976876,9.832922441884875
-10.0,-6.6,0.0,4.53362e-05,0.0,inf,0.662962693721056
-10.0,-6.4,0.0,4.532259e-05,3.1622776601753135e-11,6.156314720046718,6.574569396674633
-10.0,-6.2,0.0,4.5305940000000006e-05,5.1639777949545456e-11,5.943170779365895,3.3977669533342123
-10.0,-6.0,0.0,4.528562e-05,4.2163702135670847e-11,6.031021581383969,0.5399735812097788
-10.0,-5.8,0.0,4.526082e-05,4.216370213567084e-11,6.0307836812871685,6.936960311606526
-10.0,-5.6,0.0,4.523062e-05,4.2163702135670847e-11,6.030493804281334,0.10216305777430534
-10.0,-5.4,0.0,4.51938e-05,0.0,inf,11.899786638095975
-10.0,-5.2,0.0,4.5148810000000005e-05,3.1622776601753135e-11,6.1546463079764955,1.0089068561792374
-10.0,-5.0,0.0,4.509401e-05,3.1622776601753135e-11,6.154118856805673,8.586183851584792
-10.0,-4.8,0.0,4.502732e-05,4.2163702135670847e-11,6.028537362166952,0.5647156368941069
-10.0,-4.6,0.0,4.49461e-05,0.0,inf,0.4359144251793623
-10.0,-4.4,0.0,4.484729999999999e-05,7.142808977410281e-21,15.797867265981205,3.217006668448448
-10.0,-4.2,0.0,4.472719000000001e-05,3.1622776601753135e-11,6.150571614339191,0.2335443701595068
-10.0,-4.0,0.0,4.458139e-05,3.1622776601753135e-11,6.149153605191245,5.633238926529884
