i x0 x1 x2 result
3 -10.000000 -7.600000 0.0 4.53752e-05
4 -10.000000 -7.600000 0.0 4.53752e-05
5 -10.000000 -7.600000 0.0 4.53751e-05
6 -10.000000 -7.600000 0.0 4.53752e-05
7 -10.000000 -7.600000 0.0 4.53752e-05
8 -10.000000 -7.600000 0.0 4.53752e-05
9 -10.000000 -7.600000 0.0 4.53752e-05
10 -10.000000 -7.600000 0.0 4.53752e-05
1 -10.000000 -7.400000 0.0 4.53701e-05
2 -10.000000 -7.400000 0.0 4.53701e-05
3 -10.000000 -7.400000 0.0 4.53701e-05
4 -10.000000 -7.400000 0.0 4.53701e-05
5 -10.000000 -7.400000 0.0 4.53701e-05
6 -10.000000 -7.400000 0.0 4.53701e-05
7 -10.000000 -7.400000 0.0 4.53701e-05
8 -10.000000 -7.400000 0.0 4.53701e-05
9 -10.000000 -7.400000 0.0 4.53701e-05
10 -10.000000 -7.400000 0.0 4.53701e-05
1 -10.000000 -7.200000 0.0 4.5364e-05
2 -10.000000 -7.200000 0.0 4.5364e-05
3 -10.000000 -7.200000 0.0 4.5364e-05
4 -10.000000 -7.200000 0.0 4.5364e-05
5 -10.000000 -7.200000 0.0 4.5364e-05
6 -10.000000 -7.200000 0.0 4.5364e-05
7 -10.000000 -7.200000 0.0 4.5364e-05
8 -10.000000 -7.200000 0.0 4.5364e-05
9 -10.000000 -7.200000 0.0 4.5364e-05
10 -10.000000 -7.200000 0.0 4.5364e-05
1 -10.000000 -7.000000 0.0 4.53565e-05
2 -10.000000 -7.000000 0.0 4.53565e-05
3 -10.000000 -7.000000 0.0 4.53565e-05
4 -10.000000 -7.000000 0.0 4.53565e-05
5 -10.000000 -7.000000 0.0 4.53565e-05
6 -10.000000 -7.000000 0.0 4.53565e-05
7 -10.000000 -7.000000 0.0 4.53566e-05
8 -10.000000 -7.000000 0.0 4.53565e-05
9 -10.000000 -7.000000 0.0 4.53565e-05
10 -10.000000 -7.000000 0.0 4.53565e-05
1 -10.000000 -6.800000 0.0 4.53474e-05
2 -10.000000 -6.800000 0.0 4.53474e-05
3 -10.000000 -6.800000 0.0 4.53474e-05
4 -10.000000 -6.800000 0.0 4.53474e-05
5 -10.000000 -6.800000 0.0 4.53474e-05
6 -10.000000 -6.800000 0.0 4.53474e-05
7 -10.000000 -6.800000 0.0 4.53474e-05
8 -10.000000 -6.800000 0.0 4.53474e-05
9 -10.000000 -6.800000 0.0 4.53474e-05
10 -10.000000 -6.800000 0.0 4.53474e-05
1 -10.000000 -6.600000 0.0 4.53362e-05
2 -10.000000 -6.600000 0.0 4.53362e-05
3 -10.000000 -6.600000 0.0 4.53362e-05
4 -10.000000 -6.600000 0.0 4.53362e-05
5 -10.000000 -6.600000 0.0 4.53362e-05
6 -10.000000 -6.600000 0.0 4.53362e-05
7 -10.000000 -6.600000 0.0 4.53362e-05
8 -10.000000 -6.600000 0.0 4.53362e-05
9 -10.000000 -6.600000 0.0 4.53362e-05
10 -10.000000 -6.600000 0.0 4.53362e-05
1 -10.000000 -6.400000 0.0 4.53226e-05
2 -10.000000 -6.400000 0.0 4.53226e-05
3 -10.000000 -6.400000 0.0 4.53226e-05
4 -10.000000 -6.400000 0.0 4.53226e-05
5 -10.000000 -6.400000 0.0 4.53226e-05
6 -10.000000 -6.400000 0.0 4.53226e-05
7 -10.000000 -6.400000 0.0 4.53226e-05
8 -10.000000 -6.400000 0.0 4.53226e-05
9 -10.000000 -6.400000 0.0 4.53226e-05
10 -10.000000 -6.400000 0.0 4.53225e-05
1 -10.000000 -6.200000 0.0 4.5306e-05
2 -10.000000 -6.200000 0.0 4.53059e-05
3 -10.000000 -6.200000 0.0 4.53059e-05
4 -10.000000 -6.200000 0.0 4.53059e-05
5 -10.000000 -6.200000 0.0 4.5306e-05
6 -10.000000 -6.200000 0.0 4.53059e-05
7 -10.000000 -6.200000 0.0 4.5306e-05
8 -10.000000 -6.200000 0.0 4.53059e-05
9 -10.000000 -6.200000 0.0 4.53059e-05
10 -10.000000 -6.200000 0.0 4.5306e-05
1 -10.000000 -6.000000 0.0 4.52856e-05
2 -10.000000 -6.000000 0.0 4.52856e-05
3 -10.000000 -6.000000 0.0 4.52856e-05
4 -10.000000 -6.000000 0.0 4.52857e-05
5 -10.000000 -6.000000 0.0 4.52856e-05
6 -10.000000 -6.000000 0.0 4.52856e-05
7 -10.000000 -6.000000 0.0 4.52856e-05
8 -10.000000 -6.000000 0.0 4.52857e-05
9 -10.000000 -6.000000 0.0 4.52856e-05
10 -10.000000 -6.000000 0.0 4.52856e-05
1 -10.000000 -5.800000 0.0 4.52608e-05
2 -10.000000 -5.800000 0.0 4.52608e-05
3 -10.000000 -5.800000 0.0 4.52608e-05
4 -10.000000 -5.800000 0.0 4.52608e-05
5 -10.000000 -5.800000 0.0 4.52608e-05
6 -10.000000 -5.800000 0.0 4.52608e-05
7 -10.000000 -5.800000 0.0 4.52608e-05
8 -10.000000 -5.800000 0.0 4.52609e-05
9 -10.000000 -5.800000 0.0 4.52608e-05
10 -10.000000 -5.800000 0.0 4.52609e-05
1 -10.000000 -5.600000 0.0 4.52306e-05
2 -10.000000 -5.600000 0.0 4.52307e-05
3 -10.000000 -5.600000 0.0 4.52307e-05
4 -10.000000 -5.600000 0.0 4.52306e-05
5 -10.000000 -5.600000 0.0 4.52306e-05
6 -10.000000 -5.600000 0.0 4.52306e-05
7 -10.000000 -5.600000 0.0 4.52306e-05
8 -10.000000 -5.600000 0.0 4.52306e-05
9 -10.000000 -5.600000 0.0 4.52306e-05
10 -10.000000 -5.600000 0.0 4.52306e-05
1 -10.000000 -5.400000 0.0 4.51938e-05
2 -10.000000 -5.400000 0.0 4.51938e-05
3 -10.000000 -5.400000 0.0 4.51938e-05
4 -10.000000 -5.400000 0.0 4.51938e-05
5 -10.000000 -5.400000 0.0 4.51938e-05
6 -10.000000 -5.400000 0.0 4.51938e-05
7 -10.000000 -5.400000 0.0 4.51938e-05
8 -10.000000 -5.400000 0.0 4.51938e-05
9 -10.000000 -5.400000 0.0 4.51938e-05
