x,mean,std_deviation,significant_digits
10000000000.0,80000000000.0,9.02722134872378e-06,15.947535895440504
10000000000.01,80000000000.08003,2.9548517961177193e-05,15.432554283752218
10000000000.02,80000000000.15999,1.4872427894300786e-05,15.730708114972087
10000000000.03,80000000000.23999,1.4872427894300786e-05,15.730708114972522
10000000000.04,80000000000.32002,1.6003552981111933e-05,15.698873575038267
10000000000.05,80000000000.39998,1.9301011109426144e-05,15.617509926289852
10000000000.06,80000000000.48,9.02722134872378e-06,15.94753589544311
10000000000.07,80000000000.56001,1.7397696305834016e-05,15.662598241465265
10000000000.08,80000000000.63998,1.7397696305834016e-05,15.662598241465698
10000000000.09,80000000000.72,9.02722134872378e-06,15.947535895444414
10000000000.1,80000000000.80002,1.52587890625e-05,15.719569917619985
10000000000.11,80000000000.87997,3.03262434606198e-05,15.42127136980719
10000000000.12,80000000000.95999,1.4475758332069607e-05,15.742448662901191
10000000000.13,80000000001.04001,1.6003552981111933e-05,15.698873575042176
10000000000.14,80000000001.12003,3.108451658243311e-05,15.410545869265677
10000000000.15,80000000001.2,1.0235906879424086e-05,15.892963660734486
10000000000.16,80000000001.28,8.357582969744355e-06,15.954589770191001
10000000000.17,80000000001.35999,1.4872427894300786e-05,15.730708114978603
10000000000.18,80000000001.43999,1.6003552981111933e-05,15.698873575044347
10000000000.19,80000000001.51999,1.7397696305834016e-05,15.662598241470477
10000000000.2,80000000001.60002,1.9895026871345974e-05,15.604345456935192
10000000000.21,80000000001.67998,1.9301011109426144e-05,15.617509926296801
10000000000.22,80000000001.75998,1.6003552981111933e-05,15.698873575046084
10000000000.23,80000000001.84001,1.3647875839232114e-05,15.76802492412966
10000000000.24,80000000001.92,6.823937919616057e-06,15.954589770191001
10000000000.25,80000000002.0,7.62939453125e-06,15.954589770191001
10000000000.26,80000000002.08003,3.108451658243311e-05,15.410545869270889
10000000000.27,80000000002.15999,1.7729110776706316e-05,15.654403033379866
10000000000.28,80000000002.23999,1.230202903487938e-05,15.813113239306375
10000000000.29,80000000002.32002,1.6363228294011854e-05,15.689220997451432
10000000000.3,80000000002.39998,1.6363228294011854e-05,15.689220997451866
10000000000.31,80000000002.47998,1.6363228294011854e-05,15.6892209974523
10000000000.32,80000000002.56001,2.0185480583683706e-05,15.598050893286393
10000000000.33,80000000002.63997,3.0133693936357877e-05,15.424037614116724
10000000000.34,80000000002.72,6.823937919616057e-06,15.954589770191001
10000000000.35,80000000002.80002,1.899703918150136e-05,15.624404068545697
10000000000.36,80000000002.88,8.357582969744355e-06,15.954589770191001
10000000000.37,80000000002.95999,1.7059844799040144e-05,15.671114911127683
10000000000.38,80000000003.04,1.0235906879424086e-05,15.892963660744474
10000000000.39,80000000003.12003,3.272645658802371e-05,15.388191001791792
10000000000.4,80000000003.2,8.357582969744355e-06,15.954589770191001
10000000000.41,80000000003.28,7.62939453125e-06,15.954589770191001
10000000000.42,80000000003.36002,1.8688123647942946e-05,15.631524288106043
10000000000.43,80000000003.43999,1.805444269744756e-05,15.646505899795198
10000000000.44,80000000003.51999,1.4872427894300786e-05,15.730708114990328
10000000000.45,80000000003.60002,1.9600269437660414e-05,15.610827945528232
10000000000.46,80000000003.67998,1.671516593948871e-05,15.679979294611808
10000000000.47,80000000003.76,8.357582969744355e-06,15.954589770191001
10000000000.48,80000000003.84001,1.6363228294011854e-05,15.689220997459683
10000000000.49,80000000003.91998,1.7397696305834016e-05,15.662598241483504
10000000000.5,80000000004.0,1.1819407184470877e-05,15.830494292445536
10000000000.51,80000000004.08,9.650505554713072e-06,15.91853992197381
10000000000.52,80000000004.15999,1.8688123647942946e-05,15.631524288110386
10000000000.53,80000000004.24,6.823937919616057e-06,15.954589770191001
