# Verificarlo Analysis for parallel_5
# Source: parallel_5.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [-1.0:0.01:1.0], Iterations: 20
i x result
1 -1.00 -3.19999999999999964e+01
2 -1.00 -3.20000000000000000e+01
3 -1.00 -3.19999999999999964e+01
4 -1.00 -3.19999999999999929e+01
5 -1.00 -3.19999999999999964e+01
6 -1.00 -3.19999999999999964e+01
7 -1.00 -3.19999999999999964e+01
8 -1.00 -3.20000000000000000e+01
9 -1.00 -3.19999999999999964e+01
10 -1.00 -3.20000000000000071e+01
11 -1.00 -3.19999999999999964e+01
12 -1.00 -3.19999999999999964e+01
13 -1.00 -3.19999999999999964e+01
14 -1.00 -3.20000000000000071e+01
15 -1.00 -3.20000000000000000e+01
16 -1.00 -3.19999999999999964e+01
17 -1.00 -3.20000000000000071e+01
18 -1.00 -3.19999999999999964e+01
19 -1.00 -3.20000000000000000e+01
20 -1.00 -3.20000000000000000e+01
1 -0.99 -3.16799999999999997e+01
2 -0.99 -3.16799999999999997e+01
3 -0.99 -3.16799999999999997e+01
4 -0.99 -3.16799999999999962e+01
5 -0.99 -3.16800000000000033e+01
6 -0.99 -3.16799999999999997e+01
7 -0.99 -3.16799999999999997e+01
8 -0.99 -3.16799999999999997e+01
9 -0.99 -3.16799999999999997e+01
10 -0.99 -3.16799999999999997e+01
11 -0.99 -3.16799999999999997e+01
12 -0.99 -3.16799999999999962e+01
13 -0.99 -3.16799999999999997e+01
14 -0.99 -3.16800000000000033e+01
15 -0.99 -3.16799999999999997e+01
16 -0.99 -3.16799999999999997e+01
17 -0.99 -3.16799999999999997e+01
18 -0.99 -3.16799999999999997e+01
19 -0.99 -3.16799999999999962e+01
20 -0.99 -3.16800000000000033e+01
1 -0.98 -3.13599999999999994e+01
2 -0.98 -3.13599999999999994e+01
3 -0.98 -3.13599999999999994e+01
4 -0.98 -3.13600000000000030e+01
5 -0.98 -3.13600000000000030e+01
6 -0.98 -3.13599999999999959e+01
7 -0.98 -3.13599999999999994e+01
8 -0.98 -3.13600000000000030e+01
9 -0.98 -3.13599999999999994e+01
10 -0.98 -3.13599999999999994e+01
11 -0.98 -3.13599999999999994e+01
12 -0.98 -3.13599999999999994e+01
13 -0.98 -3.13599999999999959e+01
14 -0.98 -3.13599999999999994e+01
15 -0.98 -3.13600000000000030e+01
16 -0.98 -3.13599999999999994e+01
17 -0.98 -3.13599999999999959e+01
18 -0.98 -3.13600000000000030e+01
19 -0.98 -3.13600000000000030e+01
20 -0.98 -3.13599999999999994e+01
1 -0.97 -3.10399999999999956e+01
2 -0.97 -3.10400000000000027e+01
3 -0.97 -3.10399999999999956e+01
4 -0.97 -3.10399999999999991e+01
5 -0.97 -3.10399999999999991e+01
6 -0.97 -3.10399999999999991e+01
7 -0.97 -3.10399999999999991e+01
8 -0.97 -3.10400000000000027e+01
9 -0.97 -3.10399999999999991e+01
10 -0.97 -3.10400000000000027e+01
11 -0.97 -3.10399999999999991e+01
12 -0.97 -3.10399999999999991e+01
13 -0.97 -3.10399999999999956e+01
14 -0.97 -3.10399999999999956e+01
15 -0.97 -3.10400000000000027e+01
16 -0.97 -3.10400000000000027e+01
17 -0.97 -3.10399999999999956e+01
18 -0.97 -3.10399999999999991e+01
19 -0.97 -3.10400000000000027e+01
20 -0.97 -3.10399999999999956e+01
