x,mean,std_dev,significant_digits,ulp_error
-1.0,-32.0,3.2601936634160008e-15,15.991906579339455,0.0
-0.99,-31.67999999999999,1.1555305619385805e-14,15.438003736554723,0.0
-0.98,-31.360000000000003,3.908834885778708e-15,15.904328728351116,0.0
-0.97,-31.039999999999992,6.4176976441352504e-15,15.684542460184536,0.0
-0.96,-30.720000000000006,7.732228192232196e-15,15.599116548987324,0.0
-0.95,-30.399999999999995,3.3605307085583907e-15,15.956465715267129,0.0
-0.94,-30.080000000000002,4.155947776962434e-15,15.859607750281707,0.0
-0.93,-29.76,2.1564154148268384e-15,16.139900499214225,0.0
-0.92,-29.44000000000001,7.011311581563932e-15,15.623138538147485,0.0
-0.91,-29.120000000000005,3.3605307085583907e-15,15.937783502299375,0.0
-0.9,-28.8,1.6300968317080004e-15,16.247179084442763,0.0
-0.89,-28.480000000000008,6.571130405957372e-15,15.636899898990903,0.0
-0.88,-28.160000000000004,3.3605307085583907e-15,15.92322478212845,0.0
-0.87,-27.840000000000003,3.2601936634160008e-15,15.931425831958075,0.0
-0.86,-27.52,1.8225036628030615e-15,16.178980019742976,0.0
-0.85,-27.2,1.411705266887655e-15,16.28482486902188,0.0
-0.84,-26.879999999999995,3.3605307085583907e-15,15.903021396040163,0.0
-0.83,-26.559999999999995,3.3605307085583907e-15,15.897820202354355,0.0
-0.82,-26.24,8.150484158540002e-16,16.507780423051134,0.0
-0.81,-25.920000000000005,3.3605307085583907e-15,15.887227128856932,0.0
-0.8,-25.600000000000005,3.2601936634160008e-15,15.894996566331399,0.0
-0.79,-25.279999999999994,7.732228192232196e-15,15.514472407238197,0.0
-0.78,-24.959999999999997,4.610610094765734e-15,15.733486184197945,0.0
-0.77,-24.639999999999997,4.155947776962434e-15,15.77297062185449,0.0
-0.76,-24.32,1.411705266887655e-15,16.23621953558838,0.0
-0.75,-24.0,1.6300968317080004e-15,16.167997838395138,0.0
-0.74,-23.68,2.5774093974107316e-15,15.963198290398394,0.0
-0.73,-23.360000000000003,3.908834885778708e-15,15.776425512779078,0.0
-0.72,-23.040000000000003,4.38917004516769e-15,15.720100068149208,0.0
-0.71,-22.720000000000006,7.944109290391274e-15,15.45636311674207,0.0
-0.7,-22.399999999999995,3.3605307085583907e-15,15.823840149992538,0.0
-0.69,-22.079999999999995,3.15666894095528e-15,15.844770031876832,0.0
-0.68,-21.76,1.1526525236914334e-15,16.275960485541663,0.0
-0.67,-21.440000000000005,3.2601936634160008e-15,15.817981382040282,0.0
-0.66,-21.120000000000005,3.15666894095528e-15,15.825464876681446,0.0
-0.65,-20.800000000000004,3.2601936634160008e-15,15.80481993598231,0.0
-0.64,-20.480000000000008,7.244308779635439e-15,15.451332999006084,0.0
-0.63,-20.160000000000007,6.721061417116781e-15,15.477052663767882,0.0
-0.62,-19.839999999999996,4.38917004516769e-15,15.655159261216193,0.0
-0.61,-19.52,1.1526525236914334e-15,16.228781407846196,0.0
-0.6,-19.199999999999996,3.552713678800501e-15,15.732741020574647,0.0
-0.59,-18.879999999999995,3.3605307085583907e-15,15.749594121620426,0.0
-0.58,-18.559999999999995,3.3605307085583907e-15,15.742170103541218,0.0
-0.57,-18.24,8.150484158540002e-16,16.34984142633991,0.0
-0.56,-17.920000000000005,3.2601936634160008e-15,15.740094606345655,0.0
-0.55,-17.600000000000005,4.957745964335634e-15,15.550228398128164,0.0
