x0,x1,x2,mean,std,min,max,count,sig_digits
0.5,0.0,0.0,0.45186300000000007,5.551115123125783e-17,0.451863,0.451863,10,15.910626547208981
0.5,0.0,0.01,0.45062199999999997,5.551115123125783e-17,0.450622,0.450622,10,15.909432156627986
0.5,0.0,0.02,0.449375,0.0,0.449375,0.449375,10,16
0.5,0.0,0.03,0.44812199999999996,5.551115123125783e-17,0.448122,0.448122,10,15.90701603144637
0.5,0.0,0.04,0.446865,0.0,0.446865,0.446865,10,16
0.5,0.0,0.05,0.445601,0.0,0.445601,0.445601,10,16
0.5,0.0,0.06,0.444332,0.0,0.444332,0.444332,10,16
0.5,0.0,0.07,0.443058,0.0,0.443058,0.443058,10,16
0.5,0.0,0.08,0.44177900000000003,5.551115123125783e-17,0.441779,0.441779,10,15.900824833658213
0.5,0.0,0.09,0.440494,0.0,0.440494,0.440494,10,16
0.5,0.0,0.1,0.439203,0.0,0.439203,0.439203,10,16
0.5,0.0,0.11,0.43790699999999994,5.551115123125783e-17,0.437907,0.437907,10,15.897001653356028
0.5,0.0,0.12,0.436606,0.0,0.436606,0.436606,10,16
0.5,0.0,0.13,0.43529999999999996,5.551115123125783e-17,0.4353,0.4353,10,15.894408433012384
0.5,0.0,0.14,0.43398900000000007,5.551115123125783e-17,0.433989,0.433989,10,15.89309848776417
0.5,0.0,0.15,0.432672,0.0,0.432672,0.432672,10,16
0.5,0.0,0.16,0.43135,0.0,0.43135,0.43135,10,16
0.5,0.0,0.17,0.430023,0.0,0.430023,0.430023,10,16
0.5,0.0,0.18,0.428692,0.0,0.428692,0.428692,10,16
0.5,0.0,0.19,0.42735500000000004,5.551115123125783e-17,0.427355,0.427355,10,15.886408555370938
0.5,0.0,0.2,0.42601300000000003,5.551115123125783e-17,0.426013,0.426013,10,15.88504261787348
0.5,0.0,0.21,0.42466600000000004,5.551115123125783e-17,0.424666,0.424666,10,15.883667257353142
0.5,0.0,0.22,0.4233140000000001,5.551115123125783e-17,0.423314,0.423314,10,15.882282397717145
0.5,0.0,0.23,0.421957,0.0,0.421957,0.421957,10,16
0.5,0.0,0.24,0.42059499999999994,5.551115123125783e-17,0.420595,0.420595,10,15.87948387137762
0.5,0.0,0.25,0.41922899999999996,5.551115123125783e-17,0.419229,0.419229,10,15.878071083018522
0.5,0.0,0.26,0.417858,0.0,0.417858,0.417858,10,16
0.5,0.0,0.27,0.4164820000000001,5.551115123125783e-17,0.416482,0.416482,10,15.875216002162976
0.5,0.0,0.28,0.41510100000000005,5.551115123125783e-17,0.415101,0.415101,10,15.873773545472865
0.5,0.0,0.29,0.413716,0.0,0.413716,0.413716,10,16
0.5,0.0,0.3,0.412327,0.0,0.412327,0.412327,10,16
0.5,0.0,0.31,0.410932,0.0,0.410932,0.410932,10,16
0.5,0.0,0.32,0.409534,0.0,0.409534,0.409534,10,16
0.5,0.0,0.33,0.408131,0.0,0.408131,0.408131,10,16
0.5,0.0,0.34,0.40672300000000006,5.551115123125783e-17,0.406723,0.406723,10,15.86491849810872
0.5,0.0,0.35,0.40531100000000003,5.551115123125783e-17,0.405311,0.405311,10,15.863408156358272
0.5,0.0,0.36,0.403895,0.0,0.403895,0.403895,10,16
0.5,0.0,0.37,0.402475,0.0,0.402475,0.402475,10,16
0.5,0.0,0.38,0.401051,0.0,0.401051,0.401051,10,16
0.5,0.0,0.39,0.399622,0.0,0.399622,0.399622,10,16
0.5,0.0,0.4,0.398189,0.0,0.398189,0.398189,10,16
0.5,0.0,0.41,0.396753,0.0,0.396753,0.396753,10,16
0.5,0.0,0.42,0.395312,0.0,0.395312,0.395312,10,16
0.5,0.0,0.43,0.393868,0.0,0.393868,0.393868,10,16
0.5,0.0,0.44,0.39241899999999996,5.551115123125783e-17,0.392419,0.392419,10,15.84936979258377
