x,mean,std_dev,significant_digits,ulp_error
-1.0,-16.0,1.7763568394002505e-15,15.954589770191003,0.0
-0.99,-15.839999999999995,5.154818794821463e-15,15.487541773937005,0.0
-0.98,-15.680000000000001,2.9386988553472945e-15,15.727190974542513,0.0
-0.97,-15.519999999999996,3.2601936634160008e-15,15.677648317941719,0.0
-0.96,-15.360000000000003,4.821891455281219e-15,15.503173785867867,0.0
-0.95,-15.199999999999998,1.8225036628030615e-15,15.921175178124274,0.0
-0.94,-15.040000000000001,2.4451452475620005e-15,15.788943173883473,0.0
-0.93,-14.88,7.058526334438275e-16,16.32388889186152,0.0
-0.92,-14.720000000000002,2.305305047382867e-15,15.80517940885302,0.0
-0.91,-14.560000000000002,1.72897878553715e-15,15.925371710436858,0.0
-0.9,-14.4,1.0782077074134192e-15,16.125660060099616,0.0
-0.89,-14.24,9.112518314015307e-16,16.19387157514432,0.0
-0.88,-14.079999999999998,1.57833447047764e-15,15.950403613289746,0.0
-0.87,-13.919999999999998,1.57833447047764e-15,15.945440193758195,0.0
-0.86,-13.759999999999996,3.285565202978686e-15,15.622008343589558,0.0
-0.85,-13.6,1.411705266887655e-15,15.983794873357898,0.0
-0.84,-13.439999999999998,1.8225036628030615e-15,15.867730858897309,0.0
-0.83,-13.279999999999998,2.077973888481217e-15,15.805557989058082,0.0
-0.82,-13.12,1.1526525236914334e-15,16.056235429555162,0.0
-0.81,-12.960000000000003,1.57833447047764e-15,15.914405960018227,0.0
-0.8,-12.800000000000002,2.82341053377531e-15,15.656435938971567,0.0
-0.79,-12.639999999999997,3.4579575710743e-15,15.562927413742225,0.0
-0.78,-12.479999999999999,2.194585022583845e-15,15.75486217440842,0.0
-0.77,-12.319999999999999,2.4109457276406096e-15,15.708423273664762,0.0
-0.76,-12.16,8.150484158540002e-16,16.17375016728423,0.0
-0.75,-12.0,7.058526334438275e-16,16.230467206699288,0.0
-0.74,-11.84,9.982263672530257e-16,16.074122665206573,0.0
-0.73,-11.680000000000001,3.15666894095528e-15,15.568213805596052,0.0
-0.72,-11.520000000000001,1.8225036628030615e-15,15.800784069266696,0.0
-0.71,-11.36,1.9964527345060514e-15,15.75511929853069,0.0
-0.7,-11.199999999999998,1.8225036628030615e-15,15.788549612849684,0.0
-0.69,-11.039999999999997,1.8225036628030615e-15,15.782300663572682,0.0
-0.68,-10.88,8.150484158540002e-16,16.125445487709673,0.0
-0.67,-10.72,9.112518314015307e-16,16.070556371200237,0.0
-0.66,-10.560000000000002,2.1564154148268384e-15,15.689931490538177,0.0
-0.65,-10.400000000000002,1.9964527345060514e-15,15.71677430645447,0.0
-0.64,-10.240000000000004,3.505655790781966e-15,15.465530684785817,0.0
-0.63,-10.080000000000002,1.954417442889354e-15,15.712443202112203,0.0
-0.62,-9.920000000000002,1.57833447047764e-15,15.798312630637831,0.0
-0.61,-9.759999999999996,3.505655790781966e-15,15.444680545812696,0.0
-0.6,-9.599999999999998,2.4451452475620005e-15,15.593966570667417,0.0
-0.59,-9.439999999999998,1.8225036628030615e-15,15.714303584477571,0.0
-0.58,-9.279999999999998,1.72897878553715e-15,15.729758311678703,0.0
-0.57,-9.120000000000001,1.867510530352401e-15,15.688731778972949,0.0
-0.56,-8.960000000000003,1.8225036628030615e-15,15.691639599841627,0.0
-0.55,-8.800000000000002,1.7763568394002505e-15,15.694952459685247,0.0
-0.54,-8.639999999999997,3.15666894095528e-15,15.437284705298564,0.0
-0.53,-8.479999999999999,1.867510530352401e-15,15.657132792901248,0.0
-0.52,-8.319999999999999,2.077973888481217e-15,15.602483240316808,0.0
-0.51,-8.16,1.7763568394002505e-15,15.66215994628894,0.0
-0.5,-8.0,1.2225726237810002e-15,15.815815320283773,0.0
-0.49,-7.840000000000001,9.112518314015307e-16,15.934677648527922,0.0
-0.48,-7.6800000000000015,2.4536206464501943e-15,15.495553802589498,0.0
-0.47,-7.5200000000000005,1.6044244110338126e-15,15.67089857951799,0.0
-0.46,-7.360000000000001,1.6678647024801974e-15,15.64471699666256,0.0
-0.45,-7.199999999999998,1.9964527345060514e-15,15.557073463586958,0.0
-0.44,-7.039999999999999,8.881784197001252e-16,15.899072442341172,0.0
-0.43,-6.879999999999998,1.764631583609569e-15,15.590934390215136,0.0
-0.42,-6.720000000000001,1.1160510070552178e-15,15.779685229369468,0.0
-0.41,-6.5600000000000005,8.64489392768575e-16,15.88014417049948,0.0
-0.4,-6.400000000000001,7.8916723523882e-16,15.90901092813152,0.0
