x,mean,std_deviation,significant_digits
-4.0,-7.021427154541016e-05,0.0,7.224719895935547
-3.9,-0.00011216104358027223,3.6197432095163825e-12,7.224719895935547
-3.8,-0.00017610192007850857,5.82076609134674e-12,7.224719895935547
-3.7,-0.00027181208424735813,8.73114913702011e-12,7.224719895935547
-3.6,-0.0004126310246647336,6.343032791542171e-12,7.224719895935547
-3.5,-0.0006161481142044067,0.0,7.224719895935547
-3.4,-0.000905871405848302,2.5204656522966648e-11,7.224719895935547
-3.3,-0.0013112693908624352,5.334820243245735e-11,7.224719895935547
-3.2,-0.0018695831531658769,0.0,7.224719895935547
-3.1,-0.0026265679858624934,1.1406325468715178e-10,7.224719895935547
-3.0,-0.0036374330520629883,0.0,7.224719895935547
-2.9,-0.004966685408726334,2.1339280972982945e-10,7.224719895935547
-2.8,-0.006688904529437423,1.3969838619232177e-10,7.224719895935547
-2.7,-0.008887580409646035,3.725290298461914e-10,7.224719895935547
-2.6,-0.011653899680823088,4.656612873077393e-10,7.224719895935547
-2.5,-0.015084296464920044,0.0,7.224719895935547
-2.4,-0.019276858121156693,9.125060374972142e-10,7.224719895935547
-2.3,-0.024327015224844217,6.650973510502698e-10,7.224719895935547
-2.2,-0.03032149337232113,2.3587295589263338e-08,6.10907243751155
-2.1,-0.03733100164681673,1.8533085232723878e-09,7.224719895935547
-2.0,-0.04540228843688965,0.0,7.224719895935547
-1.9,-0.05454877559095621,2.2335437699346977e-08,6.387790539202015
-1.8,-0.06474047750234604,2.980232238769531e-09,7.224719895935547
-1.7,-0.0758940927684307,1.1323902125336724e-08,6.826211866796354
-1.6,-0.08786301799118519,3.5537004523610534e-09,7.224719895935547
-1.5,-0.10042841657996178,2.1322202714166322e-08,6.673024547423206
-1.4,-0.11329194195568562,1.5712601474645095e-08,6.8579509257224105
-1.3,-0.12607100158929824,2.164518691053085e-08,6.765253862777458
-1.2,-0.13829724192619325,5.960464477539062e-09,7.224719895935547
-1.1,-0.14941897615790367,1.8173919495419365e-08,6.914957156293105
-1.0,-0.15880799293518066,0.0,7.224719895935547
-0.9,-0.16577148512005807,1.1025852402261454e-08,7.177097653772092
-0.8,-0.16956829279661179,1.3738191809196603e-08,7.091415072145317
-0.7,-0.16942986473441124,1.235539015514925e-08,7.137133500131004
-0.6,-0.16458479762077333,8.940696716308595e-09,7.224719895935547
-0.5,-0.1542859874665737,7.107400904722107e-09,7.224719895935547
-0.4,-0.13783883452415466,8.688795409866126e-09,7.200412021085226
-0.3,-0.11462907902896405,3.7066170465447757e-09,7.224719895935547
-0.2,-0.08414857052266597,2.861449773560691e-09,7.224719895935547
-0.1,-0.04601724985986948,1.8533085232723878e-09,7.224719895935547
0.0,0.0,0.0,7.224719895935547
0.1,0.05398275218904018,2.660389404201079e-09,7.224719895935547
0.2,0.11585143320262432,6.354869197767966e-09,7.224719895935547
0.3,0.18537093624472617,1.1025852402261452e-08,7.224719895935547
0.4,0.26216116547584534,1.3328003749250112e-08,7.224719895935547
0.5,0.3457140102982521,1.2904784139758924e-08,7.224719895935547
0.6,0.4354152262210846,1.97686242482388e-08,7.224719895935547
0.7,0.530570137500763,2.3841857910156248e-08,7.224719895935547
0.8,0.6304317146539689,2.2891598188485525e-08,7.224719895935547
0.9,0.7342284917831421,2.6656007498500224e-08,7.224719895935547
1.0,0.8411920070648193,0.0,7.224719895935547
1.1,0.9505810558795929,3.318646170395626e-08,7.224719895935547
1.2,1.061702811717987,5.462855929083633e-08,7.224719895935547
1.3,1.1739289462566376,9.13721902177089e-08,7.1088277762065815
1.4,1.2867080390453338,5.6859207237776855e-08,7.224719895935547
1.5,1.3995715916156768,5.930587274471641e-08,7.224719895935547
1.6,1.5121369898319243,5.930587274471641e-08,7.224719895935547
1.7,1.6241059720516204,5.6859207237776855e-08,7.224719895935547
1.8,1.735259473323822,5.960464477539063e-08,7.224719895935547
1.9,1.8454512119293214,7.152557373046876e-08,7.224719895935547
2.0,1.9545977115631104,0.0,7.224719895935547
2.1,2.0626689076423643,1.1861174548943282e-07,7.224719895935547
2.2,2.16967853307724,1.1371841447555371e-07,7.224719895935547
2.3,2.2756729245185854,5.196212462831346e-08,7.224719895935547
2.4,2.380723237991333,0.0,7.224719895935547
2.5,2.4849156975746154,8.513246093443453e-08,7.224719895935547
2.6,2.588346004486084,0.0,7.224719895935547
2.7,2.691112494468689,1.0392424925662692e-07,7.224719895935547
2.8,2.793311023712158,1.1680077279964342e-07,7.224719895935547
2.9,2.8950333833694457,1.2839233415447482e-07,7.224719895935547
3.0,2.996362543106079,1.1680077279964342e-07,7.224719895935547
3.1,3.097373342514038,1.1680077279964342e-07,7.224719895935547
3.2,3.198130488395691,1.1920928955078125e-07,7.224719895935547
3.3,3.2986886739730834,1.6689300537109377e-07,7.224719895935547
3.4,3.399094247817993,1.1680077279964342e-07,7.224719895935547
3.5,3.499383842945099,1.1371841447555371e-07,7.224719895935547
3.6,3.599587309360504,1.1861174548943282e-07,7.224719895935547
3.7,3.699728310108185,1.4841436860547938e-07,7.224719895935547
3.8,3.7998238444328307,1.364412682325792e-07,7.224719895935547
3.9,3.8998879075050352,1.1861174548943282e-07,7.224719895935547
4.0,3.9999297857284546,1.1920928955078125e-07,7.224719895935547
